Time (ms),y target (mm),y tip (mm)
10826,-0.1389251,-0.05570574
10851,-0.07763188,-0.06563547
10876,-0.04117166,-0.06804108
10901,-0.004876537,-0.06946022
10926,0.0292639,-0.07060228
10951,0.0292639,-0.07060228
10976,0.06800871,-0.07234032
11001,0.08095723,-0.07225554
11026,0.08161809,-0.0722854
11051,0.08161809,-0.0722854
11076,0.05794211,-0.07009363
11101,0.01279018,-0.06740773
11126,-0.03112913,-0.06435811
11151,-0.08305742,-0.05985757
11176,-0.1363535,-0.05520742
11201,-0.1935764,-0.04712656
11226,-0.1935764,-0.04712656
11251,-0.2232057,-0.04650927
11276,-0.2104496,-0.05066
11301,-0.1771789,-0.05684284
11326,-0.1468952,-0.06503421
11351,-0.09689517,-0.06837826
11376,-0.09689517,-0.06837826
11401,-0.05830239,-0.06981894
11426,-0.02004053,-0.07142267
11451,0.02702254,-0.07264135
11476,0.07279803,-0.07593142
11501,0.08752633,-0.07785303
11526,0.08752633,-0.07785303
11551,0.08848212,-0.0787211
11576,0.0680548,-0.07709622
11601,0.0680548,-0.07709622
11626,0.02707789,-0.0724019
11651,-0.02831148,-0.06800497
11676,-0.09185315,-0.06317276
11701,-0.1352629,-0.05942345
11726,-0.1352629,-0.05942345
11751,-0.1789135,-0.05377768
11776,-0.1984431,-0.05440108
11801,-0.180858,-0.05601676
11826,-0.1587461,-0.06298092
11851,-0.1587461,-0.06298092
11876,-0.1192887,-0.06657167
11901,-0.07225844,-0.07005474
11926,-0.03585464,-0.07282726
11951,0.01045371,-0.07540819
11976,0.01045371,-0.07540819
12001,0.04921991,-0.07792681
12026,0.07316334,-0.07979624
12052,0.07316334,-0.07979624
12077,0.07565212,-0.07922374
12102,0.05285434,-0.07762894
12127,0.02587858,-0.07526148
12152,-0.008676558,-0.07166456
12177,-0.04795866,-0.06777822
12202,-0.09962586,-0.06158397
12227,-0.09962586,-0.06158397
12252,-0.1516245,-0.05101579
12277,-0.1834584,-0.04906001
12302,-0.1824889,-0.05052024
12327,-0.1824889,-0.05052024
12352,-0.1590319,-0.05590133
12377,-0.1016022,-0.06962217
12402,-0.1016022,-0.06962217
12429,-0.05610264,-0.07436781
12453,-0.02238292,-0.07674345
12478,0.0183911,-0.07754625
12503,0.04952892,-0.0770891
12528,0.04952892,-0.0770891
12553,0.06401978,-0.07708593
12578,0.06635232,-0.07756498
12603,0.06043791,-0.07761671
12628,0.04623342,-0.07752824
12653,0.01568586,-0.07797796
12678,-0.02662574,-0.07823901
12703,-0.02662574,-0.07823901
12728,-0.0783926,-0.07811797
12753,-0.1301078,-0.07679277
12778,-0.1725697,-0.07483131
12803,-0.1959005,-0.07351332
12828,-0.1959005,-0.07351332
12853,-0.199025,-0.07306396
12878,-0.1739542,-0.07395744
12903,-0.1355457,-0.07709345
12928,-0.1355457,-0.07709345
12953,-0.08809893,-0.08130786
12978,-0.02376621,-0.08671457
13003,0.02074667,-0.09067967
13029,0.02074667,-0.09067967
13054,0.06605832,-0.09147434
13078,0.06605832,-0.09147434
13103,0.08571184,-0.08945759
13129,0.0849712,-0.08714937
13153,0.06330324,-0.08300941
13178,0.06330324,-0.08300941
13203,0.02645847,-0.07866907
13228,-0.03700793,-0.07363109
13253,-0.03700793,-0.07363109
13278,-0.1099278,-0.06831029
13303,-0.1099278,-0.06831029
13328,-0.1613998,-0.06485191
13353,-0.1982358,-0.06265717
13378,-0.2086881,-0.0620552
13403,-0.1838073,-0.06553171
13428,-0.1838073,-0.06553171
13453,-0.1425046,-0.0707169
13478,-0.1425046,-0.0707169
13503,-0.08840007,-0.07621802
13528,-0.04318586,-0.07948712
13553,-0.0104215,-0.08192979
13578,0.02684234,-0.08387399
13603,0.02684234,-0.08387399
13628,0.04917506,-0.08566092
13653,0.05217195,-0.08554465
13679,0.05217195,-0.08554465
13703,0.03439669,-0.08279684
13728,0.002429761,-0.0794947
13753,0.002429761,-0.0794947
13778,-0.04135393,-0.07770039
13804,-0.09351958,-0.07809906
13828,-0.1343041,-0.07978401
13854,-0.172525,-0.08012293
13878,-0.2113539,-0.07972813
13903,-0.2113539,-0.07972813
13928,-0.2121597,-0.0778401
13953,-0.19683,-0.07685994
13978,-0.1620276,-0.07867812
14003,-0.1084044,-0.08193242
14028,-0.06828377,-0.08626278
14053,-0.01177499,-0.09090237
14078,0.02574049,-0.09448567
14104,0.02574049,-0.09448567
14128,0.05782709,-0.09628627
14153,0.09007403,-0.09660877
14179,0.09526616,-0.0942829
14203,0.09526616,-0.0942829
14228,0.07414024,-0.09053001
14254,0.0494963,-0.08776815
14279,0.0494963,-0.08776815
14303,-0.01148664,-0.08480066
14328,-0.0554813,-0.08364186
14354,-0.1010484,-0.08162694
14378,-0.1703699,-0.07983281
14404,-0.1960241,-0.07924946
14428,-0.1960241,-0.07924946
14453,-0.2078423,-0.07969215
14478,-0.166337,-0.08131888
14503,-0.166337,-0.08131888
14528,-0.1149599,-0.08439514
14554,-0.08995558,-0.08548059
14578,-0.04087301,-0.08796147
14604,0.001929883,-0.09058765
14630,0.001929883,-0.09058765
14655,0.03340375,-0.09259947
14680,0.06364071,-0.09381352
14704,0.06364071,-0.09381352
14729,0.07009728,-0.09324326
