Time (ms),y target (mm),y tip (mm)
24916,0.07765405,-0.05523008
24966,0.0798818,-0.04998906
25016,0.08325351,-0.0443255
25066,0.08484413,-0.04060788
25116,0.08834021,-0.0315659
25166,0.09106139,-0.02955224
25216,0.09314445,-0.03087817
25266,0.09376365,-0.03088517
25316,0.08931573,-0.02956809
25366,0.06076907,-0.02974248
25466,-0.09672878,-0.03044045
25516,-0.1997958,-0.0308541
25566,-0.2140501,-0.03225121
25616,-0.2200938,-0.04114758
25666,-0.2175003,-0.05010913
25716,-0.2127729,-0.05739105
25766,-0.2105116,-0.06113887
25817,-0.208762,-0.06967835
25866,-0.2068089,-0.0737896
25916,-0.2026592,-0.08447122
25967,-0.2001353,-0.09327033
26016,-0.1997481,-0.1010949
26066,-0.1975498,-0.1061554
26116,-0.1960646,-0.110585
26166,-0.1947494,-0.1187219
26216,-0.1925755,-0.1259111
26266,-0.1947477,-0.1325424
26316,-0.1955875,-0.1371143
26366,-0.1975461,-0.1474585
26416,-0.1991059,-0.150573
26466,-0.1990321,-0.1497834
26516,-0.1973067,-0.1473687
26566,-0.1957091,-0.1475835
26616,-0.1907175,-0.150184
26666,-0.178432,-0.1487981
26716,-0.1498837,-0.1489601
26766,-0.08033708,-0.1472906
26816,-0.04474886,-0.1474983
26867,0.006030316,-0.1473781
26917,0.0500304,-0.1454902
26967,0.05873187,-0.1430551
27017,0.06313589,-0.1356023
27067,0.06238434,-0.126621
27117,0.06041675,-0.1253531
27167,0.05905003,-0.118445
27217,0.05808416,-0.1105694
27267,0.05783011,-0.1052741
27317,0.05580642,-0.09697296
27367,0.05745041,-0.08882163
27417,0.05726555,-0.08521019
27467,0.0589652,-0.0772723
27517,0.0619386,-0.06590465
27567,0.06276701,-0.05392378
27617,0.06412263,-0.04921779
27667,0.06812795,-0.03988326
27717,0.0737268,-0.03274268
27767,0.07799554,-0.03094611
27817,0.07978364,-0.03233043
27867,0.08195069,-0.03225084
27918,0.0816385,-0.03093442
27967,0.07233448,-0.0306175
28017,0.004603486,-0.03116266
28067,-0.06627063,-0.02994476
28118,-0.1536084,-0.03083831
28167,-0.1994285,-0.03250698
28217,-0.2043987,-0.04285166
28267,-0.21571,-0.04990705
28317,-0.2140792,-0.05547426
28367,-0.2117263,-0.06393041
28417,-0.2097284,-0.07199335
28467,-0.2097372,-0.07735342
28517,-0.2082083,-0.08557442
28567,-0.208168,-0.09295177
28617,-0.2087127,-0.1048459
28667,-0.2090322,-0.1137275
28718,-0.2094837,-0.1172996
28767,-0.2090063,-0.1199253
28817,-0.2096129,-0.130336
28867,-0.2092492,-0.1349131
28918,-0.2084281,-0.1437185
28967,-0.2079581,-0.1481987
29017,-0.2078256,-0.1488302
29067,-0.2083226,-0.1482285
29117,-0.2090039,-0.1478771
29167,-0.2098662,-0.1489766
29217,-0.1996552,-0.1492133
29268,-0.1438097,-0.1486957
29318,-0.01378862,-0.1491405
29368,0.01363817,-0.1491795
29418,0.04928781,-0.1492214
29468,0.06063926,-0.1477
29518,0.06315888,-0.145009
29568,0.06541224,-0.137386
29618,0.06352468,-0.1309033
29668,0.05922102,-0.1274636
29718,0.0578017,-0.1243288
29768,0.05766121,-0.1148635
29818,0.05663117,-0.1106268
29868,0.05883116,-0.1024048
29918,0.05989907,-0.09620113
29968,0.0613411,-0.08668455
30018,0.06394508,-0.08077362
30068,0.06580942,-0.06756452
30118,0.06462051,-0.05566336
30169,0.06555761,-0.04652169
30219,0.06567255,-0.04070947
30269,0.06730616,-0.03219738
30319,0.06760068,-0.03018008
30371,0.06751857,-0.03169541
30420,0.07036963,-0.03184099
30470,0.07055504,-0.0311365
30520,0.07421111,-0.03149743
30570,0.06325264,-0.03225513
30670,-0.1400723,-0.03149749
30720,-0.1910414,-0.03101617
30771,-0.1920589,-0.03133831
30820,-0.2005618,-0.03113062
30870,-0.2156926,-0.03780776
30920,-0.2180878,-0.04793061
30970,-0.2174925,-0.05293521
31020,-0.2155918,-0.06269184
31070,-0.2149834,-0.07089037
31120,-0.2141113,-0.08070067
31170,-0.2152004,-0.08589439
31220,-0.2170376,-0.09878179
31270,-0.2177089,-0.1033377
31320,-0.2194725,-0.1108316
31370,-0.2200725,-0.1178495
31420,-0.2218869,-0.1217399
31470,-0.2228139,-0.1315464
31520,-0.2256792,-0.1394206
31570,-0.2253754,-0.1454332
31620,-0.2267773,-0.1476297
31670,-0.2255978,-0.1484638
31720,-0.2267437,-0.1476949
31770,-0.2271854,-0.1474862
31820,-0.2271334,-0.1486773
31870,-0.2242311,-0.1486728
31920,-0.2165537,-0.1484208
31970,-0.1223258,-0.1499737
32020,-0.06852841,-0.148207
32070,0.03149268,-0.1471213
