Time (ms),y target (mm),y tip (mm)
15496,-0.1378532,-0.1364899
15521,-0.1214858,-0.1365834
15546,-0.1214858,-0.1365834
15571,-0.1132862,-0.1364403
15596,-0.0004757047,-0.03518348
15621,-0.08877463,-0.1341141
15646,-0.08061507,-0.1309159
15671,-0.07285379,-0.1269877
15696,-0.06436592,-0.1238987
15721,0.01583463,-0.04864683
15746,0.01583463,-0.04864683
15771,-0.04459594,-0.1191442
15796,-0.03434281,-0.1189886
15821,-0.02673851,-0.1185598
15846,-0.01665579,-0.1160963
15871,-0.01665579,-0.1160963
15896,-0.0009636823,-0.1101664
15921,0.006326908,-0.105778
15946,0.006326908,-0.105778
15971,0.01982616,-0.1004038
15996,0.02974888,-0.09467711
16021,0.0368987,-0.09021977
16046,0.0368987,-0.09021977
16071,0.04684149,-0.08331004
16096,0.05355041,-0.07875229
16121,0.06131976,-0.0739065
16146,0.06735214,-0.07060755
16171,0.072979,-0.06758939
16196,0.08015044,-0.06417348
16221,0.08730747,-0.06025528
16246,0.09082671,-0.05782311
16271,0.09082671,-0.05782311
16296,0.09750903,-0.05269329
16323,0.1041222,-0.04851151
16348,0.1084645,-0.04572019
16373,0.1122615,-0.0421595
16398,0.1122615,-0.0421595
16423,0.1213388,-0.02636367
16448,0.1213388,-0.02636367
16473,0.1224965,-0.01543869
16498,0.1215736,-0.005511677
16523,0.1180042,-0.00165821
16548,0.1180042,-0.00165821
16573,0.1109647,-0.004232415
16598,0.1016699,-0.009028345
16623,0.1016699,-0.009028345
16648,0.09326296,-0.01043237
16673,0.08593033,-0.009087084
16698,0.0701509,-0.005815743
16723,0.0701509,-0.005815743
16748,0.05577544,-0.005550967
16773,0.04097616,-0.007060545
16798,0.04097616,-0.007060545
16823,0.02251319,-0.008305089
16848,0.02251319,-0.008305089
16873,0.005530642,-0.006553653
16898,-0.004353535,-0.00627431
16923,-0.01519393,-0.00661576
16948,-0.01519393,-0.00661576
16973,-0.02309659,-0.006948509
16998,-0.04013454,-0.01240119
17023,-0.04879088,-0.01969668
17048,-0.04879088,-0.01969668
17073,-0.05458087,-0.02589391
17098,-0.06332226,-0.03347633
17123,-0.07018854,-0.0386509
17148,-0.07691468,-0.04475528
17173,-0.08216386,-0.04923962
17198,-0.08719356,-0.05356559
17223,-0.09233305,-0.05828531
17248,-0.09233305,-0.05828531
17273,-0.1029556,-0.06672627
17298,-0.1073757,-0.06956609
17323,-0.1073757,-0.06956609
17348,-0.1147807,-0.07148541
17373,-0.1225168,-0.07067966
17398,-0.1298003,-0.06832699
